ID,Требование,Источник,Реализация,Проверка,Отчёт,Статус
R1,"Определить основные объекты предметной области", "Задание.pdf: п.1", "Person; Patient; MedicalStaff; Doctor; Nurse; Hospital; Department; MedicalCard; Appointment", "Сверка с исходным Python и доменной моделью", "§2.1", "PASS"
R2,"Определить свойства классов", "Задание.pdf: п.2", "Все атрибуты взяты из финального исходного Python; включая _prescription и свойства location", "Статический аудит исходников", "§2.2", "PASS"
R3,"Определить методы классов", "Задание.pdf: п.3", "Методы перечислены по фактическому коду; несуществующие put_diagnosis/prescription удалены из финального отчёта", "Статический аудит исходников", "§2.3", "PASS"
R4,"Построить диаграмму классов", "Задание.pdf: п.4", "9 классов, атрибуты, методы, видимые связи", "Визуальная и структурная проверка UML", "§3.1", "PASS"
R5,"Использовать Association, Aggregation, Composition, Generalization где уместно", "Задание.pdf: п.5", "Generalization 4; Composition 2; Aggregation 1; Association 3; Dependency 0", "UML_Hospital.dot + визуальный аудит", "§3.2–3.4", "PASS"
R6,"Объяснить выбор отношений", "Задание.pdf: п.6", "Для каждого типа связи приведено обоснование существованием/владением/созданием объектов", "Сверка с кодом и UML", "§3.3", "PASS"
R7,"Отчёт с диаграммой и кратким описанием", "Задание.pdf: п.7", "14-страничный DOCX + PDF; UML встроена; классы и связи описаны", "DOCX/PDF визуальный QA по всем 14 страницам", "Весь отчёт", "PASS"
R8,"Ответить на вопросы для самопроверки", "Задание.pdf: п.8", "Три вопроса с прямыми ответами и привязкой к модели", "Содержательный аудит", "§5", "PASS"
R9,"Форматирование отчёта", "RUBRIC_FROM_USER.txt", "Times New Roman 14; одинарный интервал; выравнивание по ширине; абзац 1.25 см; титул; содержание; подписи", "Визуальный QA DOCX/PDF", "Весь отчёт", "PASS"
R10,"Проверяемость AI/независимости", "RUBRIC_FROM_USER.txt", "Содержимое привязано к исходному коду и выданному заданию; внешний AI-детектор не запускался", "Внутренний аудит трассируемости", "Весь отчёт", "PASS_WITH_EXTERNAL_CHECK_PENDING"
